"","PAYS","NATA","CHOM","APRI","ASEC","PIB","FBCF","INFL","RECC","MINF","PROT","NRJ"
"1","AL",97,41,73,460,6870,211,60,409,197,58,394
"2","AL",95,40,68,453,8410,209,48,435,155,65,425
"3","AL",95,33,62,449,12450,227,41,427,147,67,463
"4","AL",101,44,55,435,11076,220,47,446,126,68,427
"5","AU",123,17,125,409,4990,267,78,391,205,56,307
"6","AU",114,16,118,406,6380,272,69,430,168,58,330
"7","AU",115,21,107,405,9120,250,53,430,148,59,360
"8","AU",124,25,102,400,8842,249,52,474,126,59,349
"9","BE",121,42,36,399,6350,220,94,407,146,62,426
"10","BE",124,63,33,379,8060,212,92,418,153,62,453
"11","BE",126,67,32,355,11000,210,64,432,117,63,496
"12","BE",126,111,30,334,9651,179,64,440,117,64,442
"13","CA",157,69,61,293,6990,242,83,374,155,65,878
"14","CA",155,81,57,289,8590,227,92,364,143,66,872
"15","CA",151,74,57,289,9580,225,87,358,120,66,916
"16","CA",152,75,55,283,11741,237,103,387,104,65,927
"17","DA",142,49,98,315,7010,199,99,450,104,66,350
"18","DA",122,51,91,304,9040,233,110,465,87,68,391
"19","DA",117,37,83,300,12940,215,104,465,91,67,423
"20","DA",104,103,74,293,11350,157,108,512,84,75,338
"21","ES",188,47,219,385,2870,232,139,231,121,50,173
"22","ES",180,63,207,374,3150,215,188,267,156,52,185
"23","ES",161,85,194,364,5310,190,186,268,151,53,199
"24","ES",141,140,182,352,4938,201,160,300,103,55,202
"25","EU",147,83,40,290,7090,163,70,307,161,73,791
"26","EU",153,69,36,289,8670,175,80,320,152,72,830
"27","EU",157,57,36,314,10650,181,89,326,130,75,869
"28","EU",159,75,35,301,12647,179,98,337,117,72,769
"29","FI",142,22,149,361,5650,267,133,395,102,63,473
"30","FI",139,60,129,348,6360,267,138,435,120,66,498
"31","FI",132,60,118,344,8690,231,107,391,76,66,546
"32","FI",132,52,111,348,10238,243,96,394,76,67,544
"33","FR",141,41,113,386,6360,234,96,406,132,68,318
"34","FR",140,49,96,377,7170,226,107,422,113,73,330
"35","FR",142,59,88,362,10680,213,104,436,98,76,375
"36","FR",149,73,86,352,10552,212,117,461,96,79,364
"37","IR",216,80,245,298,2480,223,151,350,184,66,227
"38","IR",214,94,231,303,2940,247,153,368,157,69,238
"39","IR",215,61,197,323,4390,326,141,384,149,70,261
"40","IR",210,89,177,317,4855,298,152,382,112,66,251
"41","IT",151,33,158,441,3080,212,138,347,207,50,228
"42","IT",134,71,159,386,3470,198,170,374,177,51,246
"43","IT",118,75,148,377,5690,187,166,362,153,51,252
"44","IT",109,83,134,375,6123,203,168,387,141,56,244
"45","JA",172,19,127,358,4420,308,122,235,100,34,297
"46","JA",155,20,119,354,6100,300,113,245,89,35,308
"47","JA",143,21,112,349,8720,317,65,243,80,36,326
"48","JA",131,22,100,353,9606,309,46,282,71,37,308
"49","NO",140,23,102,343,7060,354,90,502,105,57,477
"50","NO",125,9,90,323,8800,366,95,512,105,61,490
"51","NO",128,20,86,301,11360,273,84,521,86,64,587
"52","NO",124,20,85,298,13937,272,97,525,81,68,591
"53","PB",130,43,66,348,5950,213,89,536,106,59,435
"54","PB",125,45,63,332,7680,211,78,540,95,61,458
"55","PB",125,42,60,320,10620,217,60,558,85,65,490
"56","PB",126,75,50,302,9861,190,55,559,82,64,434
"57","PO",193,53,282,336,1550,136,169,230,379,39,88
"58","PO",186,78,325,331,1670,204,198,283,389,38,93
"59","PO",164,81,306,350,2070,199,218,283,389,39,112
"60","PO",155,81,261,365,2398,313,210,281,260,39,105
"61","RU",125,34,27,409,4070,199,145,400,160,55,363
"62","RU",117,55,27,400,4370,181,161,406,141,55,378
"63","RU",131,53,26,390,7170,178,144,388,133,55,395
"64","RU",130,110,28,363,8886,159,120,406,121,55,347
"65","SU",127,16,64,365,8460,207,85,522,83,66,600
"66","SU",116,18,61,343,9480,205,103,609,80,71,609
"67","SU",116,21,58,325,12820,195,105,603,73,70,626
"68","SU",113,25,56,313,13505,193,103,588,70,73,603
