,verbes,masculin,feminin,masculinité
0,dit,265819,47003,0.8497452225227126
1,déclare,197666,26470,0.8819020594638969
2,explique,177546,45107,0.7974112183532223
3,précise,104834,20120,0.8389807449141284
4,observe,17867,4496,0.798953628761794
5,répond,38105,9719,0.7967756774841084
6,raconte,43218,16084,0.7287781187818286
7,indique,96375,18634,0.8379778973819441
8,remarque,13075,3226,0.8020980307956567
9,affirme,134577,24206,0.8475529496230705
10,souligne,87985,18423,0.8268645214645516
11,relève,15599,5728,0.731420265391288
12,suggère,10959,3085,0.78033323839362
13,note,28604,6464,0.815672407893236
14,propose,40681,12146,0.7700796940958222
15,rétorque,4624,1059,0.8136547598099595
16,réclame,10650,4628,0.6970807697342584
17,marmonne,149,24,0.861271676300578
18,ajoute,166938,23739,0.8755015025409462
19,soupire,3196,1214,0.7247165532879819
20,murmure,1565,467,0.7701771653543307
21,proteste,3346,914,0.7854460093896714
22,énonce,1458,404,0.7830290010741139
23,expose,10366,1955,0.8413278143007873
24,exprime,18629,5114,0.7846102009013183
25,pense,56668,10437,0.8444676253632367
26,avance,12175,3797,0.7622714750813925
27,martèle,5662,897,0.8632413477664278
28,annonce,90887,24781,0.7857575128816959
29,profère,288,61,0.8252148997134671
30,insinue,345,115,0.75
31,prétend,9095,3153,0.7425702155453952
